,Date,Place,Title,Band,Open,Start
0,2018-01-05,梅田Zeela,～ななえ・あやかす presents～新年企画,"['鳥', '俺たち五銃士、SIPLACK「X」', 'ポップなパンクでパンパンズ', ""glay's diamond"", '大きなお友達ズ\t\t\t\r\n', 'Ida hair is good', 'KiLLER WHALE', 'SUKIMA', 'トゲトゲ光線', 'チームさまちゃん', 'どんぞこからのスタート']",13:15:00,13:30:00
1,2018-01-06,梅田Zeela,BASS ON TOP presents 大学ジョイントライブ Fruits Basket Vol.68,"['大和大学 軽音楽部', '大阪商業大学 軽音楽部', '神戸国際大学 軽音楽部', '阪南大学 Music Lovers', '神戸学院大学 フォークソング部', '大阪経済法科大学 軽音楽部', '太成学院大学 軽音楽部', '関西外国語大学(中宮キャンパス) 軽音楽部', '神戸学院大学 ギター部', '近畿大学 文化会軽音楽部音楽団\r\n', '関西大学(千里山キャンパス)  MCBB']",13:30:00,14:00:00
2,2018-01-07,梅田Zeela,OSAKA FUNK GRAMMAR Vol.0,"['[A→Z] FABULOUS VIBRATIONS', 'K-106', 'Muff', 'Heartful★Funks', 'ズクナシ', 'ナチュラルキラーズ', 'O.A: Amy // [FOOD] 北堀江 Soul Kitchen']",16:00:00,16:30:00
3,2018-01-08,梅田Zeela,梅田Zeela presents「Z-ワン！グランプリ」(いぬ年だけに、、、),"['ツキノスミカ', 'THESEDAYS', '残月ノ刃', 'The Uncrowned Union', '6 ball pockets', 'フリーハンド', 'Pince-Nez', 'octO']",16:00:00,16:30:00
4,2018-01-09,梅田Zeela,a day off,"['un-not(東京)', '寂しがり屋なピアニシモ', 'Colors to cooks', 'Crankbait,', 'GYPSY-02']",18:00:00,18:30:00
5,2018-01-10,梅田Zeela,YEAH BOY COMPANY pre シャツ発企画「イェーボーイの泉Vol.1」,"['YEAH BOY COMPANY（シャツ発）', '鬼矢色遼一朗', '絶倫太郎', 'EPIC MONSTER', '人事異動', 'ゼウス']",17:30:00,18:00:00
6,2018-01-11,梅田Zeela,"ONE,ワン,WONDERFUL!!","['ANIME GIRL', 'LeeNAMO', 'odayaka na kurasi', '忘憂', '※出演予定のRoley one Romanceはインフルエンザのためキャンセルとなりました。']",18:30:00,19:00:00
7,2018-01-12,梅田Zeela,FANTAGROUP Presents.「ファングルNOW」,"['FANTAGROUP', '【GUEST】 ONE☆DRAFT', 'ROYALcomfort', 'オープニングアクト：IKASA']",17:00:00,17:30:00
8,2018-01-13,梅田Zeela,"アイビーカラー""君が思い出になる頃""リリースツアーファイナル","['アイビーカラー', 'LUCCI', 'A11yourDays']",18:00:00,18:30:00
9,2018-01-14,梅田Zeela,KETSUKOMA 1st LIVE TOUR 2018～Amabile～,['KETSUKOMA'],18:00:00,18:30:00
10,2018-01-15,梅田Zeela,TSUBAZERIAI vol.1,"['Re:Answer', 'MAD 4 HERO', 'ARoots', 'SAVEwizOUT""', 'dps']",17:30:00,18:00:00
11,2018-01-16,梅田Zeela,Odyssey,"['CRY SIS', '82回目の終身刑', '三代目KONAMON', '星影エトセトラ', '我儘ラキア']",18:55:00,19:25:00
12,2018-01-17,梅田Zeela,IDO-LIVE!!mode.30,"['CRY SIS', 'mistress', 'NEVE SLIDE DOWN', '我儘ラキア', '(AtoZ)']",19:00:00,19:30:00
13,2018-01-18,梅田Zeela,Helter Skelter,"['my way my love', 'ELECTRIC MAMA', 'grunband', 'Eating Bread', 'The Phantom Films', 'TAMI']",17:30:00,18:00:00
14,2018-01-19,梅田Zeela,GROOVYROOMS 2017 AFTER PARTY!!!,"['[LIVE] CHAN-MIKA with A SEH ONE TONES,Safari sisters', 'YOKOYURE', 'チプルソ', 'Scarf & the SuspenderS', 'Soulflex', 'Hiplin(BAND SET)\r\n[DJ] DJ LIQUIDTIME MOVEMENT crew\r\n[FOOD] ツキノワカレー']",17:30:00,18:00:00
15,2018-01-20,梅田Zeela,第10回開催アニミティーライブ,"['自動人形楽団', '熱盛', '岸和田教団＆THE ダメ元ロケッツ', 'FLGM', 'fruitSand', '歌帖風月', '突起王♂', 'えもいの', 'UVERyarld']",14:00:00,14:30:00
16,2018-01-21,梅田Zeela,つぼロック！～miracle★ナイト～,"['THE SALA (茨城)', 'CRAWD', 'Parallel HOT DOG Camp', 'MAM', 'スーパーピースメーカーSZ']",17:30:00,18:00:00
